Romero          | A | 50 |  2 | arquero        | False
Otamendi        | A | 30 |  8 | defensor       | False
Lisandro        | A | 50 | 10 | defensor       | False
Tagliafico      | A | 70 | 12 | defensor       | False
Molina          | A | 15 | 15 | defensor       | False
DePaul          | A | 35 | 20 | mediocampista  | False
MacAllister     | A | 50 | 22 | mediocampista  | False
Fernandez       | A | 65 | 25 | mediocampista  | False
DiMaria         | A | 20 | 27 | delantero      | False
Messi           | A | 40 | 29 | delantero      | True
Alvarez         | A | 40 | 29 | delantero      | False
Alisson         | B | 50 | 59 | arquero        | False
Marquinhos      | B | 30 | 52 | defensor       | False
Silva           | B | 50 | 50 | defensor       | True
Militao         | B | 70 | 48 | defensor       | False
Danilo          | B | 15 | 45 | defensor       | False
Casemiro        | B | 35 | 40 | mediocampista  | False
Paqueta         | B | 50 | 38 | mediocampista  | False
Gomes           | B | 65 | 35 | mediocampista  | False
Raphinha        | B | 20 | 33 | delantero      | False
Rodrygo         | B | 50 | 32 | delantero      | False
Neymar          | B | 40 | 30 | delantero      | False
